⁊	⁊	⁊c,⁊c,⁊c,⁊c,⁊c,⁊cKewethkezyk,⁊c,⁊ctWala,⁊ctMykoron,⁊cMyker,⁊c
r̄	r	Pr̄nr̄,Pr̄nr̄,pr̄,nr̄,pr̄,nr̄,pr̄sus,§Pr̄,nr̄,pr̄,nr̄{60v}Iesus
R̸	R	R̸ryom,R̸rium,R̸ponſorium,R̸ryomex,R̸orium,R̸ſorium,R̸rium,naponR̸im,R̸ſorium{216}deus,R̸riomot,R̸m{414}Libera
s̄	s	Ias̄,ih̄s̄,xp̄s̄,ihūs̄,Ihūs̄en,Ihūs̄,iehūs̄Cristus,Ihūs̄,vramIhūs̄,vramIhūs̄,xptūs̄
ˢ	s	vezˢ,veezˢ,to̗rzˢ,tezˢ,itilzˢ,hulloviazˢ,valaztazˢ,iarzˢ,iarzˢ,tezˢ,kezˢ
ſ	s	iſtennek,(end)edeſſeges,(end)edeſſeges,irgalmaſſagabol,irgalmaſſagabol,ſeot,ſemmi,iſtenēk,teſtewnknek,eſ,iſtennek
Tʼ	Tj	ATʼāmfiāi,ATʼāmfiai,ATʼāmfiai,ATʼāmfiai
t̄	t	Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄,Capit̄
ᵗ	t	ewanᵗᵃkenÿweenek,baptᵗᵃ,ewanᵗᵃ,ewanᵐᵒᵗ:{173a}AZ,ewanᵗᵃ,ewᵗᵃewangeliomrol,engeᵗMert,engeᵗV́gekeziel,engeᵗ,engeᵗMert,engeᵗNincz
tʼʼ	tj	vylagoſoyttʼʼak,thwdhattʼʼok,boczanattʼʼa,akarattʼʼa,yſmerhettʼʼek,tanoyttʼʼa,gondolattʼʼokat,attʼʼathwl,tarttʼʼak,valazttʼʼa,tarttʼʼa
tʼ	tj	zentattʼadnac,peldazattʼara,malazttʼatbevo̗n,malazttʼat,attʼanacbo̗lčesege,ǵalaztʼa,bizońoitʼa,attʼa,akarattʼa,[...]attʼanak,haboritʼav́ket
ủ	u	bonauentủaatÿanknak
ū	ú	Evangeliūoctavaba,Capitūlm,ihū,flebilíūInterpella,purgathoriūba{24r}ennekem,angellū,testamentūzerenth,xp̄ūs,Ih̄ūs,xp̄ūs,urunkxp̄ūs
ǔ	u	iǔtattanak
u̇	ü	fu̇-let,Iu̇uenek,betfagienewu̇,o̗tetu̇to̗th,esku̇dnie,ku̇nyzarmazek,bu̇ne,o̗ru̇leraita,kithu̇l,felu̇l,ku̇lde
uͤ	ü	uͤ,luͤn,luͤn,Huͤtre,Goͤroͤguͤl,uͤ,ſʒuͤeduel,betuͤkuel,huͤtre,koͤńuͤ,uͤgekezetuel
Uͤ	Ü	Uͤduoͤzliǵ,[[3]]Uͤlvén,Uͤllyetek,Uͤdvoͤz-légy,[[19]]Uͤlvén,mōdván:Uͤdvoͤz-légy,Uͤdvoͤzloͤttek,járúlván,mon-da:Uͤdvoͤz-légy,Uͤdvoͤz-légy,Uͤdvoͤz-légy,Uͤdvoͤzítoͤ,
uͤˊ	ü	ſzuͤˊl,buͤˊnoͤkboͤˊl.,ſzuͤˊz,ſzuͤˊl:,ſzuͤˊlé:,oͤſzve-gyuͤˊjtvén,el-kuͤˊldvén,chillagot,oͤruͤˊ-lének,el-kuͤˊldvén,ágyéki-koͤruͤˊl:,Jordán-koͤruͤˊl-valo
uͤͤ	ü	uͤͤ,keſse-ruͤͤ
v̄	ü	<istev̄l>istentevl,tanitv̄áńommert,mv̄k-aidrvl,eſmerev̄kmenden,kev̄venek,kertev̄k,kēv̄,hyzzēv̄k
v̗	ü	kó̗ueteserv̗l:,v̗,v̗nekÿ,mindon-ostv̗lfoguan,v̗mondasa,v̗,v̗,alazatossagarv̗lmonduan,v̗,v̗,v̗
v̋	ü	kythv̋l,enthv̋lem,mynemv̋,yſtenttv̋l
